scenario,level,power_str,agi,spd,defense,hp,weapon,battles,rounds_mean,rounds_median,rounds_p10,rounds_p90,rounds_min,rounds_max,ttk_analytic,notes
unarmed,10,8,7,8,5.0,160,,5000,19.04,19.0,16,22,10,27,28.02,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
red_spear,10,8,7,8,5.0,160,red_spear(15-30),5000,7.84,8.0,6,10,4,13,10.01,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
unarmed,20,11,10,11,8.0,270,,5000,27.58,28.0,24,31,17,39,40.59,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
red_spear,20,11,10,11,8.0,270,red_spear(15-30),5000,10.33,10.0,8,12,5,16,13.23,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
unarmed,30,15,12,15,11.0,380,,5000,29.29,29.0,25,33,18,41,43.05,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
red_spear,30,15,12,15,11.0,380,red_spear(15-30),5000,10.88,11.0,9,13,5,17,13.95,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
unarmed,40,18,15,18,14.0,490,,5000,34.72,35.0,30,39,20,48,50.9,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
red_spear,40,18,15,18,14.0,490,red_spear(15-30),5000,12.23,12.0,10,15,6,19,15.75,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
unarmed,50,21,17,21,17.0,600,,5000,39.19,39.0,34,44,26,55,57.31,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
red_spear,50,21,17,21,17.0,600,red_spear(15-30),5000,13.29,13.0,11,16,6,24,17.12,镜像战；速度相同=>1:1基础出手；模拟含闪避/暴击/连击/反击/装死。
