formula,level,realm,stage,exp_needed,daily_income,hours_to_level,cum_days,expected_hours_with_failure
baseline,1,炼气,1,1800,71860,0.6,0.03,0.6
baseline,2,炼气,2,5091,72580,1.68,0.1,1.68
baseline,3,炼气,3,9353,73300,3.06,0.22,3.06
baseline,4,炼气,4,14400,74020,4.67,0.42,4.67
baseline,5,炼气,5,20124,74740,6.46,0.69,6.46
baseline,6,炼气,6,26454,75460,8.41,1.04,8.41
baseline,7,炼气,7,33336,76180,10.5,1.47,10.5
baseline,8,炼气,8,40729,76900,12.71,2.0,12.71
baseline,9,炼气,9,48600,77620,15.03,2.63,16.12
baseline,10,炼气,10,56920,78340,17.44,3.36,18.87
baseline,11,筑基,1,62612,79060,19.01,4.15,20.82
baseline,12,筑基,2,68304,79780,20.55,5.01,22.79
baseline,13,筑基,3,73996,80500,22.06,5.92,24.76
baseline,14,筑基,4,79688,81220,23.55,6.91,26.73
baseline,15,筑基,5,85380,81940,25.01,7.95,28.7
baseline,16,筑基,6,91072,82660,26.44,9.05,30.69
baseline,17,筑基,7,96764,83380,27.85,10.21,32.67
baseline,18,筑基,8,102456,84100,29.24,11.43,34.66
baseline,19,筑基,9,108148,84820,30.6,12.7,43.25
baseline,20,筑基,10,113840,85540,31.94,14.03,45.96
baseline,21,金丹,1,119532,86260,33.26,15.42,48.7
baseline,22,金丹,2,125224,86980,34.55,16.86,51.48
baseline,23,金丹,3,130915,87700,35.83,18.35,54.28
baseline,24,金丹,4,136608,88420,37.08,19.9,57.12
baseline,25,金丹,5,142300,89140,38.31,21.49,59.98
baseline,26,金丹,6,147992,89860,39.53,23.14,62.87
baseline,27,金丹,7,153684,90580,40.72,24.84,65.79
baseline,28,金丹,8,159376,91300,41.9,26.58,68.74
baseline,29,金丹,9,165068,92020,43.05,28.38,85.26
baseline,30,金丹,10,170760,92740,44.19,30.22,89.14
baseline,31,元婴,1,176452,93460,45.31,32.11,93.06
baseline,32,元婴,2,182144,94180,46.42,34.04,97.02
baseline,33,元婴,3,187836,94900,47.5,36.02,101.03
baseline,34,元婴,4,193528,95620,48.57,38.04,105.08
baseline,35,元婴,5,199220,96340,49.63,40.11,109.18
baseline,36,元婴,6,204912,97060,50.67,42.22,113.31
baseline,37,元婴,7,210604,97780,51.69,44.38,117.48
baseline,38,元婴,8,216296,98500,52.7,46.57,121.69
baseline,39,元婴,9,221988,99220,53.7,48.81,140.15
baseline,40,元婴,10,227680,99940,54.68,51.09,145.09
baseline,41,化神,1,233371,100660,55.64,53.41,150.07
baseline,42,化神,2,239064,101380,56.59,55.76,155.09
baseline,43,化神,3,244756,102100,57.53,58.16,160.17
baseline,44,化神,4,250448,102820,58.46,60.6,165.28
baseline,45,化神,5,256140,103540,59.37,63.07,170.43
baseline,46,化神,6,261831,104260,60.27,65.58,175.63
baseline,47,化神,7,267524,104980,61.16,68.13,180.87
baseline,48,化神,8,273216,105700,62.04,70.72,186.15
baseline,49,化神,9,278908,106420,62.9,73.34,215.94
baseline,50,化神,10,284600,107140,63.75,75.99,222.15
baseline,51,炼虚,1,294344,107860,65.49,78.72,229.31
baseline,52,炼虚,2,304222,108580,67.24,81.52,236.63
baseline,53,炼虚,3,314235,109300,69.0,84.4,244.09
baseline,54,炼虚,4,324380,110020,70.76,87.35,251.72
baseline,55,炼虚,5,334658,110740,72.53,90.37,259.5
baseline,56,炼虚,6,345068,111460,74.3,93.46,267.43
baseline,57,炼虚,7,355609,112180,76.08,96.63,275.52
baseline,58,炼虚,8,366280,112900,77.86,99.88,283.76
baseline,59,炼虚,9,377080,113620,79.65,103.2,331.86
baseline,60,炼虚,10,388010,114340,81.44,106.59,341.67
baseline,61,合体,1,399067,115060,83.24,110.06,351.66
baseline,62,合体,2,410252,115780,85.04,113.6,361.83
baseline,63,合体,3,421565,116500,86.85,117.22,372.17
baseline,64,合体,4,433003,117220,88.65,120.92,382.7
baseline,65,合体,5,444568,117940,90.47,124.68,393.41
baseline,66,合体,6,456258,118660,92.28,128.53,404.3
baseline,67,合体,7,468072,119380,94.1,132.45,415.37
baseline,68,合体,8,480010,120100,95.92,136.45,426.61
baseline,69,合体,9,492072,120820,97.75,140.52,438.04
baseline,70,合体,10,504257,121540,99.57,144.67,449.64
baseline,71,大乘,1,516565,122260,101.4,148.89,461.42
baseline,72,大乘,2,528994,122980,103.24,153.2,473.37
baseline,73,大乘,3,541545,123700,105.07,157.57,485.51
baseline,74,大乘,4,554216,124420,106.91,162.03,497.82
baseline,75,大乘,5,567009,125140,108.74,166.56,510.31
baseline,76,大乘,6,579921,125860,110.58,171.17,522.97
baseline,77,大乘,7,592952,126580,112.43,175.85,535.81
baseline,78,大乘,8,606103,127300,114.27,180.61,548.82
baseline,79,大乘,9,619372,128020,116.11,185.45,562.01
baseline,80,大乘,10,632759,128740,117.96,190.37,575.37
baseline,81,渡劫,1,646264,129460,119.81,195.36,588.91
baseline,82,渡劫,2,659886,130180,121.66,200.43,602.62
baseline,83,渡劫,3,673625,130900,123.51,205.57,616.51
baseline,84,渡劫,4,687480,131620,125.36,210.8,630.57
baseline,85,渡劫,5,701452,132340,127.21,216.1,644.8
baseline,86,渡劫,6,715538,133060,129.06,221.47,659.2
baseline,87,渡劫,7,729740,133780,130.91,226.93,673.78
baseline,88,渡劫,8,744057,134500,132.77,232.46,688.53
baseline,89,渡劫,9,758488,135220,134.62,238.07,703.45
baseline,90,渡劫,10,773033,135940,136.48,243.76,718.54
baseline,91,地仙,1,787691,136660,138.33,249.52,733.8
baseline,92,地仙,2,802463,137380,140.19,255.36,749.23
baseline,93,地仙,3,817347,138100,142.04,261.28,764.83
baseline,94,地仙,4,832344,138820,143.9,267.28,780.61
baseline,95,地仙,5,847453,139540,145.76,273.35,796.55
baseline,96,地仙,6,862674,140260,147.61,279.5,812.66
baseline,97,地仙,7,878006,140980,149.47,285.73,828.94
baseline,98,地仙,8,893449,141700,151.33,292.03,845.39
baseline,99,地仙,9,909003,142420,153.18,298.41,862.0
D,1,炼气,1,500,71860,0.17,0.01,0.17
D,2,炼气,2,2000,72580,0.66,0.03,0.66
D,3,炼气,3,4500,73300,1.47,0.1,1.47
D,4,炼气,4,8000,74020,2.59,0.2,2.59
D,5,炼气,5,12500,74740,4.01,0.37,4.01
D,6,炼气,6,18000,75460,5.72,0.61,5.72
D,7,炼气,7,24500,76180,7.72,0.93,7.72
D,8,炼气,8,32000,76900,9.99,1.35,9.99
D,9,炼气,9,40500,77620,12.52,1.87,12.52
D,10,炼气,10,50000,78340,15.32,2.51,17.03
D,11,筑基,1,2000,79060,0.61,2.53,2.9
D,12,筑基,2,8000,79780,2.41,2.63,4.7
D,13,筑基,3,18000,80500,5.37,2.86,7.74
D,14,筑基,4,32000,81220,9.46,3.25,12.01
D,15,筑基,5,50000,81940,14.64,3.86,17.55
D,16,筑基,6,72000,82660,20.9,4.73,24.35
D,17,筑基,7,98000,83380,28.21,5.91,32.44
D,18,筑基,8,128000,84100,36.53,7.43,41.82
D,19,筑基,9,162000,84820,45.84,9.34,52.51
D,20,筑基,10,200000,85540,56.11,11.68,71.47
D,21,金丹,1,4500,86260,1.25,11.73,20.47
D,22,金丹,2,18000,86980,4.97,11.94,24.12
D,23,金丹,3,40500,87700,11.08,12.4,30.43
D,24,金丹,4,72000,88420,19.54,13.21,39.52
D,25,金丹,5,112500,89140,30.29,14.47,51.5
D,26,金丹,6,162000,89860,43.27,16.28,66.46
D,27,金丹,7,220500,90580,58.42,18.71,84.51
D,28,金丹,8,288000,91300,75.71,21.87,105.75
D,29,金丹,9,364500,92020,95.07,25.83,130.27
D,30,金丹,10,450000,92740,116.45,30.68,186.95
D,31,元婴,1,8000,93460,2.05,30.77,86.03
D,32,元婴,2,32000,94180,8.15,31.1,91.74
D,33,元婴,3,72000,94900,18.21,31.86,102.14
D,34,元婴,4,128000,95620,32.13,33.2,117.62
D,35,元婴,5,200000,96340,49.82,35.28,138.54
D,36,元婴,6,288000,97060,71.21,38.25,165.28
D,37,元婴,7,392000,97780,96.22,42.25,198.16
D,38,元婴,8,512000,98500,124.75,47.45,237.54
D,39,元婴,9,648000,99220,156.74,53.98,283.74
D,40,元婴,10,800000,99940,192.12,61.99,396.07
D,41,化神,1,12500,100660,2.98,62.11,238.03
D,42,化神,2,50000,101380,11.84,62.61,245.73
D,43,化神,3,112500,102100,26.44,63.71,260.69
D,44,化神,4,200000,102820,46.68,65.65,283.77
D,45,化神,5,312500,103540,72.44,68.67,315.79
D,46,化神,6,450000,104260,103.59,72.99,357.54
D,47,化神,7,612500,104980,140.03,78.82,409.8
D,48,化神,8,800000,105700,181.65,86.39,473.32
D,49,化神,9,1012500,106420,228.34,95.9,548.84
D,50,化神,10,1250000,107140,280.01,107.57,704.68
D,51,炼虚,1,18000,107860,4.01,107.74,482.32
D,52,炼虚,2,72000,108580,15.91,108.4,491.86
D,53,炼虚,3,162000,109300,35.57,109.88,511.59
D,54,炼虚,4,288000,110020,62.82,112.5,542.91
D,55,炼虚,5,450000,110740,97.53,116.56,587.16
D,56,炼虚,6,648000,111460,139.53,122.38,645.67
D,57,炼虚,7,882000,112180,188.7,130.24,719.74
D,58,炼虚,8,1152000,112900,244.89,140.44,810.61
D,59,炼虚,9,1458000,113620,307.97,153.28,919.52
D,60,炼虚,10,1800000,114340,377.82,169.02,1122.42
D,61,合体,1,24500,115060,5.11,169.23,829.79
D,62,合体,2,98000,115780,20.31,170.08,841.01
D,63,合体,3,220500,116500,45.42,171.97,865.61
D,64,合体,4,392000,117220,80.26,175.32,905.59
D,65,合体,5,612500,117940,124.64,180.51,962.94
D,66,合体,6,882000,118660,178.39,187.94,1039.56
D,67,合体,7,1200500,119380,241.35,198.0,1137.35
D,68,合体,8,1568000,120100,313.34,211.05,1258.11
D,69,合体,9,1984500,120820,394.21,227.48,1403.65
D,70,合体,10,2450000,121540,483.79,247.64,1656.63
D,71,大乘,1,32000,122260,6.28,247.9,1288.81
D,72,大乘,2,128000,122980,24.98,248.94,1301.51
D,73,大乘,3,288000,123700,55.88,251.27,1331.0
D,74,大乘,4,512000,124420,98.76,255.38,1379.97
D,75,大乘,5,800000,125140,153.43,261.78,1451.07
D,76,大乘,6,1152000,125860,219.67,270.93,1546.87
D,77,大乘,7,1568000,126580,297.3,283.32,1669.9
D,78,大乘,8,2048000,127300,386.11,299.4,1822.62
D,79,大乘,9,2592000,128020,485.92,319.65,2007.43
D,80,大乘,10,3200000,128740,596.55,344.51,2226.69
D,81,渡劫,1,40500,129460,7.51,344.82,1772.39
D,82,渡劫,2,162000,130180,29.87,346.06,1786.8
D,83,渡劫,3,364500,130900,66.83,348.85,1821.3
D,84,渡劫,4,648000,131620,118.16,353.77,1879.15
D,85,渡劫,5,1012500,132340,183.62,361.42,1963.51
D,86,渡劫,6,1458000,133060,262.98,372.38,2077.52
D,87,渡劫,7,1984500,133780,356.02,387.21,2224.2
D,88,渡劫,8,2592000,134500,462.51,406.49,2406.54
D,89,渡劫,9,3280500,135220,582.25,430.75,2627.45
