id,name,armor_family,rank,required_level_index,armor_value,bonus_hp,price,shop_weight,route_mult_ling,route_mult_ti,description,ref_source,design_note,status,canon_origin,tone_tier,story_hook,narrative_status
plate_001,铁叶甲,重甲,凡品,0,7,0,159,1000,1.0,1.0,铁叶缀成的护甲，入手沉实，散修防身常备,原创,凡品标杆（重甲）：门槛 L1 K=110，总护甲目标 0.25K≈28 → 件 7（天生 6+武器 15，实测 r=20.3%）；M=1.25 时零血量 EHP 已达 1.2545，bonus_hp=0 纯甲件；价=同品武器×0.8,draft,散修日常,平淡,铁叶缀成的护甲，入手沉实，散修防身常备,占位
plate_002,灵岩甲,重甲,灵品,11,17,3,4800,200,1.0,1.0,以灵岩薄片层层缀成，沉而不滞,原创,灵品标杆（重甲）：门槛 L11 K=210，总A 53 → 件 17（武器 30，r=20.2%）；M=1.275，H=体修 L11 期望 319 → bonus_hp=6,draft,散修日常,平淡,以灵岩薄片层层缀成，沉而不滞,占位
plate_003,玄岳重铠,重甲,地品,21,27,9,14140,80,1.0,1.0,玄岳石铁锻造的重铠，着之如负山而行,原创,地品标杆（重甲）：门槛 L21 K=310，总A 78 → 件 27（武器 45，r=20.1%）；M=1.30，H=体修 L21 期望 478 → bonus_hp=18,draft,散修日常,平淡,玄岳石铁锻造的重铠，着之如负山而行,占位
plate_004,镇岳神甲,重甲,天品,31,37,18,23280,30,1.0,1.0,上古山神遗甲，镇岳之力凝于寸铁,原创,天品标杆（重甲）：门槛 L31 K=410，总A 103 → 件 37（武器 60，r=20.1%）；M=1.325，H=体修 L31 期望 628 → bonus_hp=37,draft,上古遗宝,正经,上古山神遗甲，镇岳之力凝于寸铁,占位
plate_005,崩岳皇铠,重甲,皇品,41,47,27,67968,10,1.0,1.0,皇室秘藏战铠，一震之间隐有崩岳之声,原创,皇品标杆（重甲，跨季外推）：门槛 L41 K=510，总A 128 → 件 47（武器 75，r=20.1%）；M=1.35 封顶，H=中立基准 700 → bonus_hp=55,draft,上古遗宝,正经,皇室秘藏战铠，一震之间隐有崩岳之声,占位
plate_006,镇狱帝铠,重甲,帝品,51,57,33,180672,3,1.0,1.0,帝者征战之铠，自带镇压一方的沉雄之气,原创,帝品标杆（重甲，跨季外推）：门槛 L51 K=610，总A 153 → 件 57（武器 90，r=20.1%）；M=1.35，H=中立 850 → bonus_hp=67,draft,上古遗宝,正经,帝者征战之铠，自带镇压一方的沉雄之气,占位
plate_007,太虚道甲,重甲,道品,61,67,39,417600,1,1.0,1.0,太虚之气凝成的道甲，虚实相生，不着寸力,原创,道品标杆（重甲，跨季外推）：门槛 L61 K=710，总A 178 → 件 67（武器 105，r=20.1%）；M=1.35，H=中立 1000 → bonus_hp=79,draft,上古遗宝,正经,太虚之气凝成的道甲，虚实相生，不着寸力,占位
plate_008,不灭仙铠,重甲,仙品,71,77,45,957440,0.3,1.0,1.0,仙家遗铠，历经万劫而寒光不蚀,原创,仙品标杆（重甲，跨季外推）：门槛 L71 K=810，总A 203 → 件 77（武器 120，r=20.0%）；M=1.35，H=中立 1150 → bonus_hp=91,draft,上古遗宝,正经,仙家遗铠，历经万劫而寒光不蚀,占位
plate_009,混元玄武甲,重甲,混元先天,81,87,51,2447920,0.1,1.0,1.0,混元初开时玄武遗蜕所化，负天而行，万劫不陷,原创,混元先天标杆（重甲，跨季外推）：门槛 L81 K=910，总A 228 → 件 87（武器 135，r=20.0%）；M=1.35，H=中立 1300 → bonus_hp=103,draft,上古遗宝,正经,混元初开时玄武遗蜕所化，负天而行，万劫不陷,占位
robe_001,粗布法袍,法袍,凡品,0,3,8,159,1000,1.0,1.0,粗布缝制的法袍，散修入门的第一件护身家当,原创,凡品标杆（法袍）：门槛 L1 K=110，总A 目标 17.9 → 件 3（武器 15 基底 12.5%，灵修天生 0，实测 r=14.1%）；M=1.25，H=灵修 L1 期望 110 → bonus_hp=8；族定位：护甲薄、气血厚,draft,散修日常,平淡,粗布缝制的法袍，散修入门的第一件护身家当,占位
