scenario,level,str,agi,spd,hp,weapon,battles,rounds_mean,rounds_median,rounds_p10,rounds_p90,rounds_min,rounds_max,draw_or_cap_rate,ttk_analytic,notes
unarmed,1,6,6,6,70,Fists,5000,4.42,4.0,3.0,6.0,1,8,0.0,7,synthetic unarmed proxy; base damage is a guess
unarmed,5,10,10,10,110,Fists,5000,4.73,5.0,3.0,6.0,1,9,0.0,7,synthetic unarmed proxy; base damage is a guess
unarmed,10,15,15,15,160,Fists,5000,5.05,5.0,3.0,7.0,1,10,0.0,8,synthetic unarmed proxy; base damage is a guess
unarmed,15,20,20,20,210,Fists,5000,5.23,5.0,3.0,7.0,1,11,0.0,8,synthetic unarmed proxy; base damage is a guess
unarmed,20,25,25,25,260,Fists,5000,5.32,5.0,3.0,7.0,1,10,0.0,8,synthetic unarmed proxy; base damage is a guess
unarmed,25,30,30,30,310,Fists,5000,5.43,5.0,4.0,7.0,1,10,0.0,8,synthetic unarmed proxy; base damage is a guess
unarmed,30,35,35,35,360,Fists,5000,5.5,6.0,4.0,7.0,1,11,0.0,8,synthetic unarmed proxy; base damage is a guess
typical-weapon,1,6,6,6,70,Broadsword,5000,2.61,3.0,1.0,4.0,1,6,0.0,4,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,5,10,10,10,110,Broadsword,5000,3.12,3.0,2.0,4.0,1,7,0.0,5,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,10,15,15,15,160,Broadsword,5000,3.52,4.0,2.0,5.0,1,7,0.0,5,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,15,20,20,20,210,Broadsword,5000,3.95,4.0,2.0,5.0,1,9,0.0,6,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,20,25,25,25,260,Broadsword,5000,4.19,4.0,3.0,6.0,1,9,0.0,6,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,25,30,30,30,310,Broadsword,5000,4.41,4.0,3.0,6.0,1,9,0.0,7,"Common weapon, base 8-15, melee/counter/block tags"
typical-weapon,30,35,35,35,360,Broadsword,5000,4.67,5.0,3.0,6.0,1,9,0.0,7,"Common weapon, base 8-15, melee/counter/block tags"
heavy-weapon,1,6,6,6,70,Stone Hammer,5000,1.0,1.0,1.0,1.0,1,2,0.0,1,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,5,10,10,10,110,Stone Hammer,5000,1.55,2.0,1.0,2.0,1,3,0.0,2,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,10,15,15,15,160,Stone Hammer,5000,1.56,2.0,1.0,2.0,1,3,0.0,2,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,15,20,20,20,210,Stone Hammer,5000,1.85,2.0,1.0,3.0,1,4,0.0,3,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,20,25,25,25,260,Stone Hammer,5000,2.14,2.0,1.0,3.0,1,5,0.0,3,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,25,30,30,30,310,Stone Hammer,5000,2.18,2.0,1.0,3.0,1,5,0.0,3,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
heavy-weapon,30,35,35,35,360,Stone Hammer,5000,2.38,2.0,1.0,3.0,1,6,0.0,3,"Rare weapon, base 50-75, heavy/slow tags; no block/counter"
