domain,scene,level_band,state,route,variant_no,text,tone_tier,narrative_status,note,group
adventure_event,herb_bloom,练气-筑基,通用,通用,01,"晨露未散，你拨开栅栏走进药圃，叶片上的水珠先你一步晃了晃。
一畦一畦看过去，该收的刚好够火候——
这茬收完，下一茬的芽已经拱出了土。",正经,定稿,药圃晨露,
adventure_event,herb_bloom,金丹-元婴,通用,通用,02,"断崖半腰风硬，你贴着岩壁探出手，够那株长在石缝里的老药。
根须抓得牢，你也不急，一寸一寸顺着它的性子起土。
药入囊时，崖下云海正好翻过一浪。",正经,定稿,断崖采药,
adventure_event,herb_bloom,通用,通用,通用,03,"溪谷里风是斜的，把一缕药香送到你面前——香得正，是熟透了的气味。
你循香溯流，在乱石堆后寻到一丛正当时的药草。
没采尽，留了最壮的两株——明年还能来。",正经,定稿,溪谷药香,
adventure_event,herb_bloom,练气-筑基,通用,通用,04,"后半夜暴雨压檐，你披衣起身，把刚移栽的药苗一株株遮好。
雨点砸在油布上，噼啪到天明。
天亮雨停，苗都立着，叶尖挂水，像一排刚醒的小兵。",正经,定稿,雨夜护苗,
adventure_event,herb_bloom,金丹-元婴,通用,通用,05,"药篓装满，你踩着露水下市集，找相熟的老铺面过秤。
掌柜拨着算盘，末了添一句：""下回还有，先送来。""
你把空篓别在腰后，市集的吆喝声里，日子有了奔头。",正经,定稿,药篓入市,
adventure_event,herb_bloom,通用,云州,通用,06,"云州人侍弄药田像伺庄稼，锄头一起一落，都踩在垄沟的韵脚上。
你看他们弯腰、看天、看土色，一套把式下来，药苗比旁人的壮三分。
临走，老大爷往你手心塞了把自家留的种子。",正经,定稿,药田庄稼把式,
adventure_event,herb_bloom,通用,沧州,通用,07,"血色峡谷的风掀开沙土，露出半截残甲——甲缝里，一株血参红得发亮。
你小心起出来，断口渗出的汁液沾在指上，像旧战场的一滴血。
回身时风又起，把那个坑重新埋平。",正经,定稿,血参长在残甲里,
adventure_event,herb_bloom,通用,朔州,通用,08,"冻土灵泉边，雪莲开得正好，花瓣上凝着极光似的冷光。
你踩着冻硬的雪壳过去，屏息采下，根须完整。
转身那一刻极光铺开，天地安静得能听见自己的心跳。",正经,定稿,雪莲,
adventure_event,herb_bloom,通用,蛮州,通用,09,"蛮州的药篓里，毒草比药草多——九死一生之地，毒就是药。
你认着叶脉和瘴气，专挑成色足的摘，篓底垫了隔潮的皮。
山民看在眼里，远远朝你竖了竖拇指。",正经,定稿,毒草进药篓,
adventure_event,herb_bloom,通用,青州,通用,10,"盐井里的灵泉冒出来，井沿青石上长出一层盐泉藻，绿中泛白。
渔家说这东西入药清火，你便趁退潮采了一篓。
海风咸腥，潮声涨落，你蹲在井边，像蹲在整片海的边上。",正经,定稿,盐泉藻,
adventure_event,herb_bloom,通用,中州,通用,11,"上古遗迹的残墙根下，雨后冒出一圈灵菌，菌盖泛着禁制刚散尽的微光。
你只采了外围一圈——深处的留着，那地方的地气还没安分。
走出遗迹时你回头看了一眼，那些菌子像是还在等你下次来。
---",正经,定稿,遗迹灵菌,
adventure_event,travel_insight,练气-筑基,通用,通用,01,"你在山巅坐到日头偏西，看云起云散，聚了又开。
起初觉得云是云，后来觉得云是气，再后来——心头那口气，忽然就顺了。
下山时，脚步比上山轻了三分。",正经,定稿,观云,
adventure_event,travel_insight,通用,通用,通用,02,"瀑布声轰了整条山谷，你站在水雾里，先听吵，再听静。
轰隆之中渐渐分出节拍，像某种粗重的呼吸，一起一伏。
你在那节拍里站了很久，久到衣袖湿透，心里却干了。",正经,定稿,听瀑,
adventure_event,travel_insight,金丹-元婴,通用,通用,03,"那棵古树不知活了几百年，树冠把日光剪成细碎的光斑。
你在树下闭目，风过枝叶，光斑在脸上缓缓移动。
睁眼时你忽然明白：树不动，是时间在动。",正经,定稿,古树下,
adventure_event,travel_insight,练气-筑基,通用,通用,04,"夏夜的山道边，萤火虫起起落落，一盏一盏，明一阵灭一阵。
你伸手接住一只，看它在你掌心亮起，又飞走。
那一点光没有方向，却照亮了你心里的一小片角落。",正经,定稿,萤火夜,
adventure_event,travel_insight,金丹-元婴,通用,通用,05,"你在城里住了三天，看屠户磨刀、妇人骂街、孩童追着炊烟跑。
第四天早晨，你蹲在朝食摊前，就着热气吃完一碗——忽然懂了什么叫""道在日用""。
付钱时，你比三天前多笑了一声。",正经,定稿,市井烟火化凡,
adventure_event,travel_insight,通用,云州,通用,06,"云州的山道走久了，晨钟会替你看时辰。
你踏着钟声赶路，一步一声，忽然觉得这路也有了节拍。",正经,定稿,山道,
adventure_event,travel_insight,通用,沧州,通用,07,"血色峡谷的残阳把影子拉得老长，长到像是另一个你在前面走。
你踩着自己的影子走了很久——走着走着，谁在前面、谁在后面，就分不清了。",正经,定稿,残阳,
adventure_event,travel_insight,通用,朔州,通用,08,"朔州的极光在天幕上翻卷，像谁的笔蘸了满天的墨在挥毫。
你仰头看到脖颈发酸——原来天地也会写字，只是不写给凡人看。",正经,定稿,极光,
adventure_event,travel_insight,通用,蛮州,通用,09,"蛮州的夜是虫鸣织的，密得像一张网。
你坐在网中央听了一夜，听着听着，竟从聒噪里听出了秩序。",正经,定稿,虫鸣,
adventure_event,travel_insight,通用,青州,通用,10,"青州的潮声没有一刻停歇，比心跳还准时。
你在礁石上坐了一整夜，潮涨潮落，忽然记不起是哪一浪，让你想起的故人。",正经,定稿,潮声,
adventure_event,travel_insight,通用,中州,通用,11,"中州的碑林立着半截断碑，碑文被岁月啃得只剩几道笔画。
你蹲下来，顺着残留的笔意描了一遍——手指划过石面时，那些缺掉的字，像自己补了回来。
---",正经,定稿,碑林悟道,
adventure_event,ally_help,练气-筑基,通用,通用,01,"你困在一处关窍上三天，路边忽然有人开口：""气走岔了。""
你回头时只看见一个背影，三句话说完，人已经没了影。
后来你才想通——前辈不留名，是因为留了名，就得负责。",正经,定稿,指点迷津,
adventure_event,ally_help,通用,通用,通用,02,"一位老修士打量你半晌，从袖中摸出一个小瓶：""年轻时用剩下的，拿去。""
你正要道谢，他已经走远，声音飘回来：""别问来历，问了我也不知道。""
药是真的，来历是编的——前辈的江湖，讲究深藏身与名。",正经+冷幽默,定稿,赠药,
adventure_event,ally_help,金丹-元婴,通用,通用,03,"那道偷袭的冷光眼看要落在你背上，一只手横空而出，把它拍散了。
出手的人掸掸袖子，像拍死一只蚊子：""下次自己接。""
你记下这份情——前辈的路，你总有一天要替他走。",正经,定稿,挡灾,
adventure_event,ally_help,练气-筑基,通用,通用,04,"前辈给你讲了一段他年轻时的事——怎么在山里迷路，怎么靠一壶水撑了半月。
末了他总结：""所以我后来出门，都带三壶水。""
你听完想笑又不敢笑——道理是这个道理。",正经+冷幽默,定稿,传阅历,
adventure_event,ally_help,金丹-元婴,通用,通用,05,"你回到落脚处，桌上多了一封信，落款处只画了个圈。
信里写着一处你正需要的门路，笔迹换了三种写法——画个圈，是怕字被人认出来。
你把信收好——江湖上最贵的礼物，是有人替你看过路。",正经,定稿,留信,
adventure_event,ally_help,通用,云州,通用,06,"云州药田边的青石上，药篓翁把新采的药材一株株摊开晒太阳。
他见你盯着药苗看，招呼你蹲下：""年份不到，急不得——这株，还差一场春雨。""
临走他塞给你一小包药种：""种在向阳处，明年这时候，记得来看它。""",正经+冷幽默,定稿,药篓翁,
adventure_event,ally_help,通用,沧州,通用,07,"血色峡谷的风沙里，拾遗客蹲在残甲堆前，用一根草茎拨弄一块锈铁。
""锈里出真金，""他头也不抬，""古战场埋的东西，见者有份——分你半件。""
你接过那半件断戟，他补了一句：""下回再捡着好东西，还在这片碰头。""",正经+冷幽默,定稿,拾遗客,
adventure_event,ally_help,通用,朔州,通用,08,"朔州的雪原上，你正发愁认不出路，雪里刀从你身边走过，步子不停：""跟上。""
你跟着他走了三十里，他一路没再开口——临到镇口，才撂下一句：""到了。""
你道谢，他摆摆手：""天冷，话短。你话也短，还行。""",正经+冷幽默,定稿,雪里刀,
adventure_event,ally_help,通用,蛮州,通用,09,"蛮州瘴气林里，你小腿发麻，蛊婆婆蹲下来看了看，往你伤口上撒了一把虫粉。
""毒不死你，就长本事。""她拍拍手，""明早还疼，就来找我；不疼，也来找我。""
你问为什么，她头也不回：""不疼了，正好来帮我抓蛊虫。""",正经+冷幽默,定稿,蛊婆婆,
adventure_event,ally_help,通用,青州,通用,10,"青州海祭台上，听潮人面朝大海坐着，你走过去，他也不回头。
潮声里他忽然开口：""潮有信，人有约——你心里那桩悬着的事，退潮时会给你答案。""
你陪他听完一潮起落，心里那件事，果然松了一半。",正经+冷幽默,定稿,听潮人,
adventure_event,ally_help,通用,中州,通用,11,"中州碑林里，拓碑客正往碑上蒙纸，见你凑近，先一步护住碑面。
""字是人刻的，气是天地还的——修士我信，来偷拓的，我不信。""
他让出半张案：""手稳，就让你拓一张——拓完，我再告诉你这碑上哪三个字是错的。""
---",正经+冷幽默,定稿,拓碑客,
adventure_event,steady_path,练气-筑基,通用,通用,01,"日头爬过山头，你顺着官道一路向南，步子不紧不慢。
风里带着远处村落的炊烟味——路上有人烟，路就不可怕。
你数着路边的界碑，一程一程，走得踏实。",正经,定稿,赶路,
adventure_event,steady_path,通用,通用,通用,02,"日落前你挑好背风处，石块垒灶，树枝搭棚，一气呵成。
营地不大，但炉火一架，四面都像有了墙。
你靠着树干啃干粮，看月亮从树梢升起来，安稳得像所有赶路人。",正经,定稿,扎营,
adventure_event,steady_path,练气-筑基,通用,通用,03,"火石擦了三下才点着，火苗先犹豫，随后一下子窜起来。
你把水壶架上，火光把影子烤得暖洋洋。
这顿夜饭很简单，但你吃出了出门以来最踏实的一口。",正经,定稿,生火,
adventure_event,steady_path,金丹-元婴,通用,通用,04,"河面宽，水流急，你沿河走了半里才寻到一处浅滩。
水没过膝，你一步一步踩实了走，木杖探路，稳得像在岸上。
过河回头，对岸的脚印还清晰——这一程，又没白走。",正经,定稿,渡河,
adventure_event,steady_path,金丹-元婴,通用,通用,05,"星斗满天，你借着月光赶路，露水打湿了裤脚。
偶尔有夜鸟惊起，你脚步不停，呼吸不乱。
天亮时，你站在一条新路的岔口——夜里看不清的，白天都明了。",正经,定稿,夜行,
adventure_event,steady_path,通用,云州,通用,06,"云州的山道随节气换衣裳：春有山茶，秋有落叶，冬雪覆阶，夏蝉满坡。
你一年里走过几回，回回都像走在新路上。
走得多了，山道的脾气你摸清了大半——剩下的半条，留给下回。",正经,定稿,四季分明的山道,
adventure_event,steady_path,通用,沧州,通用,07,"血色峡谷的路是风刮出来的，沙粒打在衣摆上，噼啪作响。
你压低斗笠，顺着峡谷的影子走，远处残甲锈铁在暮色里泛着浊光。
过了这段，前面就是有人烟的镇子。",正经,定稿,血色峡谷风沙路,
adventure_event,steady_path,通用,朔州,通用,08,"朔州的路在雪原上，一望无际，只有风把雪沫吹成流沙的样子。
你踩着前人踩出的脚印走，一步一个准。
极光垂下来的时候，连赶路都像是走在天河边上。",正经,定稿,冻土雪原道,
adventure_event,steady_path,通用,蛮州,通用,09,"蛮州的小道被藤蔓挤成窄窄一条，脚下湿滑，头顶滴水。
你拨开枝叶往前走，虫鸣跟着你的脚步，一程换一茬。
歇脚时，山民递过来一截削好的竹杖——路还长，接着走。",正经,定稿,十万大山湿热小道,
adventure_event,steady_path,通用,青州,通用,10,"青州的官道沿着海岸线走，一边是盐田，一边是潮水。
盐工们挑着担子，号子声起起落落，比海浪还有节奏。
你混在商队里走了一程，海风把满身尘土都吹干净了。",正经,定稿,沿海盐道,
adventure_event,steady_path,通用,中州,通用,11,"中州的古道从碑林间穿过，阴晴不定，云影在断碑上爬。
你走在青石板上，脚步落在前人的车辙里，深浅刚好。
地气在脚下若有若无地涌着——这条路，还醒着。
---",正经,定稿,碑林古道,
adventure_event,beast_skirmish,练气-筑基,通用,通用,01,"山道转过弯，一头疾风狼正立在路中央，绿瞳盯着你，尾巴压得很低。
你放慢步子，手按上剑柄——狼不动，你也不退。
对峙片刻，它先挪开一步，你也侧身让了半步：各自过了各自的路。",正经,定稿,巡山撞见,
adventure_event,beast_skirmish,通用,通用,通用,02,"夜里篝火将熄，你听见四周草叶响成一片——是狼群，围在火光外，眼珠在暗处一明一灭。
你往火堆添了把柴，抽剑贴着火光踱了一圈。
狼群跟到天明，终是没敢扑进亮处。",正经,定稿,夜宿被围,
adventure_event,beast_skirmish,金丹-元婴,通用,通用,03,"溪边饮水的当口，水面忽然静了——一头玄水蛟从深潭里抬起脑袋，鳞甲上的水珠串着光。
你缓缓后退，退到岸上，它也没追，只把长尾扫了一下水面。
那一扫，溪水整整浑了小半个时辰。",正经,定稿,溪边遭遇,
adventure_event,beast_skirmish,练气-筑基,通用,通用,04,"商队的粮车过山口，赤炼蛇从石缝里蹿出来，獠牙正对着最前头的马。
你抢上去一步，剑鞘扫开蛇头，自己掌背添了一道火辣辣的印子。
车队过完山口，那蛇盘在石上嘶了两声，没再追。",正经,定稿,护粮断后,
adventure_event,beast_skirmish,金丹-元婴,通用,通用,05,"裂空金雕的阴影罩下来，你怀里还护着刚到手的东西——硬拼不值当。
你把外袍往崖下一抛，借着山风斜掠出去，金雕追着袍影俯冲了一回。
等你落进林子里，它已经在云端重新盘起了圈。",正经,定稿,诱敌脱身,
adventure_event,beast_skirmish,通用,云州,通用,06,"云州山脚，一头流窜的妖狼被巡山弟子围在山道上，退路只剩你这边。
你让到路边，看他们合围、驱赶——狼没死，人也没伤。
云州人赶妖兽讲究""驱而不杀""，说是山门立下的规矩。",正经,定稿,山道妖狼,
adventure_event,beast_skirmish,通用,沧州,通用,07,"血色峡谷里，一头铁羽鹰绕着残甲堆盘旋，把你当成了腐肉。
你捡起一片锈甲往上一扬，铁光晃了它一下，鹰唳一声拔高走了。
峡谷的风沙又盖过来，像什么都没发生过。",正经,定稿,残甲堆上的铁羽鹰,
adventure_event,beast_skirmish,通用,朔州,通用,08,"朔州的雪狼通体雪白，伏在雪地里像一块石头，直到你走到三步外才睁开眼。
你停住，它也停住——僵了小半盏茶的功夫，它先转身，消失在雪幕里。
北境的妖兽，比人更知道什么时候该收手。",正经,定稿,雪狼,
adventure_event,beast_skirmish,通用,蛮州,通用,09,"十万大山的伏地藤里，一头鬼面蛛垂在你眼前，八只眼睛齐刷刷对着你。
你屏住呼吸，一寸一寸退出去，退到藤蔓合拢的地方才松了那口气。
蛮州的妖不讲道理，只讲你够不够小心。",正经,定稿,鬼面蛛,
adventure_event,beast_skirmish,通用,青州,通用,10,"青州海边，一头妖鹞俯冲下来叼你鱼篓里的鱼，翅风擦着你的脸。
你反手扣住鱼篓，妖鹞不甘地绕了两圈，落在晒盐的木桩上盯着你。
你把一条鱼远远抛过去——它叼住走了，第二天又来，像串门。",正经,定稿,妖鹞,
adventure_event,beast_skirmish,通用,中州,通用,11,"中州的遗迹外围，妖兽都带着一股说不清的躁气——你亲眼看见一头裂地虎跟自己的影子较了一下午劲。
你绕开它走，它也没理你：中州的地气，把人和兽都弄得心神不宁。
这地方，谁都不敢先动手。
---",正经,定稿,躁气的裂地虎,
adventure_event,secret_cache,练气-筑基,通用,通用,01,"山洞深处，一具盘坐的骸骨靠着石壁，怀里抱着一只落了尘的旧匣。
你在骸骨前躬身行了一礼，才轻轻取过匣子——里面是一卷残破的功法后记。
你抄下那几行字，把匣子合好放回他怀里：人家守了一辈子的东西，给他留着。",正经,定稿,修士遗骸,
adventure_event,secret_cache,金丹-元婴,通用,通用,02,"洞府半塌，丹炉还立在原处，炉膛里结着一层陈年药垢。
你拂开灰，在蒲团下摸出一枚温热的玉简——外面的禁制散了，里面的字迹还亮着。
主人不知去了哪里，这洞府倒替他守了几百年。",正经,定稿,残破洞府,
adventure_event,secret_cache,通用,通用,通用,03,"石碑下的青砖有一块微微翘起，你蹲下去，用剑尖试着按了按。
咔哒一声，暗格弹开——里面躺着一枚避尘珠，擦去蒙尘，亮得照人。
你把暗格复原，碑还是那块碑；这底下的秘密，恐怕不止这一格。",正经,定稿,碑下机关,
adventure_event,secret_cache,金丹-元婴,通用,通用,04,"木门上的禁制已经衰得只剩一层薄光，你还是隔着三步，先用剑尖探了探。
薄光应声而碎，门后涌出一股陈年的风——带着旧主人炼丹的余味。
你在门口站了一会儿才迈进去：过了几百年，这地方还知道拒绝人。",正经,定稿,禁制余威,
adventure_event,secret_cache,练气-筑基,通用,通用,05,"断墙围着一方旧药园，杂草长得比人高，土里却还认得出一畦一畦的垄。
你顺着垄挖下去，在深处拾到几颗硬壳种子，壳上纹路隐约有灵光。
你包好种子，在断墙边插了根记号木枝——来年开春，再来看它。",正经,定稿,旧日药园,
adventure_event,secret_cache,通用,云州,通用,06,"云州山脚的旧祠堂，供着历代守山人的牌位。你替祠堂补了一角漏雨的墙。
墙里掉出一只油布包，里面是一枚旧山令牌，字迹磨得只剩一个""山""字。
你把它放回墙洞，把墙重新砌好：有些东西，是让人供的，不是让人拿的。",正经,定稿,祠堂旧物,
adventure_event,secret_cache,通用,中州,通用,07,"中州的遗迹像是永远探不完——你这次进的这一处，光是前厅的壁画就看了一个时辰。
壁画上画着一位大能镇妖的旧事，画到一半，石壁断了。
你记住了一半故事，另一半，留给下次来猜。",正经,定稿,遗迹最盛,
adventure_event,secret_cache,通用,沧州,通用,08,"血色峡谷的沙里埋着好东西，也埋着要命的东西——你挖到一只锈死的铁匣，匣面刻着旧军队的记号。
你不敢当场开，背到十里外的镇子里才撬开：半卷残谱，字迹被血洇得模糊。
你对着灯看了半夜，认出三个字：守，退，活。",正经,定稿,战场遗藏,
adventure_event,secret_cache,通用,朔州,通用,09,"冻土塌了一块，露出半截石门，门缝里结着蓝汪汪的冰。
你凿开冰层进去，洞府不大：一张石床、一盏冻裂的油灯，墙上刻着密密麻麻的记号，像是数日子。
你数了数那些记号，没数完，就出去了。",正经,定稿,冻土下的旧洞府,
adventure_event,secret_cache,通用,蛮州,通用,10,"妖巢边有个被藤蔓封住的石窟，山民说""进去的人没出来过""。
你贴着石壁摸进去，里面倒是干净——石台上供着一尊毒像，像前放着一只陶罐。
你合掌拜了拜，没动那罐子：蛮州的东西，讲究一个""敬""字。",正经,定稿,妖巢旁的秘窟,
adventure_event,secret_cache,通用,青州,通用,11,"退潮后，盐井底露出一条往海去的石缝，你侧身挤了进去。
洞壁上嵌着贝壳和旧船板，最里头搁着一只泡了不知多少年的木箱。
你拖出来，箱里的东西晒了三天——能用，就是一身海腥味。
---",正经,定稿,盐井下海蚀洞,
adventure_event,blood_battle,金丹-元婴,通用,通用,01,"岩缝深处的妖巢腥风扑面，你贴着洞壁摸进去，火折子的光被蛛网割成碎片。
你一路清到最里，剑上沾的兽血干了又湿。
出来时天已擦黑，背后的巢穴再没有动静——这一段山路，能安生些日子。",正经,定稿,掏巢,
