scenario,level,level_name,hp,damage,agility,speed,armor_value,weapon,battles,actions_mean,rounds_mean,rounds_median,rounds_p10,rounds_p90,rounds_min,rounds_max,draw_rate,ttk_analytic,notes
config-baseline,1,练气一阶,100,10,5,5,0,bare_fists,2000,18.16,9.34,9,8.0,11.0,5,14,0.0,20.09,裸拳
config-baseline,2,练气二阶,115,13,6,5,0,bare_fists,2000,18.08,9.3,9,7.0,11.0,5,13,0.0,17.77,裸拳
config-baseline,3,练气三阶,130,16,7,6,0,bare_fists,2000,17.89,9.2,9,7.0,11.0,5,13,0.0,16.32,裸拳
config-baseline,4,练气四阶,145,19,8,6,0,bare_fists,2000,17.96,9.23,9,8.0,11.0,5,13,0.0,15.33,裸拳
config-baseline,5,练气五阶,160,22,9,7,0,bare_fists,2000,17.88,9.19,9,7.0,11.0,5,14,0.0,14.61,裸拳
config-baseline,6,练气六阶,175,25,10,7,0,bare_fists,2000,17.82,9.15,9,7.0,11.0,5,13,0.0,14.06,裸拳
config-baseline,7,练气七阶,190,28,11,8,0,bare_fists,2000,17.74,9.12,9,7.0,11.0,5,13,0.0,13.63,裸拳
config-baseline,8,练气八阶,205,31,12,8,0,bare_fists,2000,17.76,9.14,9,7.0,11.0,5,13,0.0,13.28,裸拳
config-baseline,9,练气九阶,220,34,13,9,0,bare_fists,2000,17.83,9.16,9,7.0,11.0,5,13,0.0,13.0,裸拳
config-baseline,10,筑基初期,235,37,14,9,0,bare_fists,2000,17.78,9.15,9,7.0,11.0,5,13,0.0,12.76,裸拳
config-baseline,11,筑基一阶,250,40,15,10,0,bare_fists,2000,17.73,9.11,9,7.0,11.0,5,13,0.0,12.55,裸拳
config-baseline,12,筑基二阶,265,43,16,10,0,bare_fists,2000,17.81,9.15,9,7.0,11.0,5,13,0.0,12.38,裸拳
config-baseline,13,筑基三阶,280,46,17,11,0,bare_fists,2000,17.73,9.12,9,7.0,11.0,4,13,0.0,12.23,裸拳
config-baseline,14,筑基四阶,295,49,18,11,0,bare_fists,2000,17.71,9.11,9,7.0,11.0,4,13,0.0,12.09,裸拳
config-baseline,15,筑基五阶,310,52,19,12,0,bare_fists,2000,17.72,9.12,9,7.0,11.0,5,13,0.0,11.97,裸拳
config-baseline,16,筑基六阶,325,55,20,12,0,bare_fists,2000,17.73,9.11,9,7.0,11.0,5,14,0.0,11.87,裸拳
config-baseline,17,筑基七阶,340,58,21,13,0,bare_fists,2000,17.77,9.14,9,7.0,11.0,5,13,0.0,11.77,裸拳
config-baseline,18,筑基八阶,355,61,22,13,0,bare_fists,2000,17.72,9.11,9,7.0,11.0,5,13,0.0,11.69,裸拳
config-baseline,19,筑基九阶,370,64,23,14,0,bare_fists,2000,17.72,9.1,9,7.0,11.0,4,13,0.0,11.61,裸拳
config-baseline,20,金丹初期,385,67,24,14,0,bare_fists,2000,17.78,9.15,9,7.0,11.0,5,13,0.0,11.54,裸拳
config-baseline,21,金丹一阶,400,70,25,15,0,bare_fists,2000,17.66,9.08,9,7.0,11.0,5,13,0.0,11.48,裸拳
config-baseline,22,金丹二阶,415,73,26,15,0,bare_fists,2000,17.67,9.09,9,7.0,11.0,5,13,0.0,11.42,裸拳
config-baseline,23,金丹三阶,430,76,27,16,0,bare_fists,2000,17.72,9.11,9,7.0,11.0,5,13,0.0,11.36,裸拳
config-baseline,24,金丹四阶,445,79,28,16,0,bare_fists,2000,17.66,9.08,9,7.0,11.0,5,13,0.0,11.31,裸拳
config-baseline,25,金丹五阶,460,82,29,17,0,bare_fists,2000,17.74,9.13,9,7.0,11.0,5,13,0.0,11.27,裸拳
config-baseline,26,金丹六阶,475,85,30,17,0,bare_fists,2000,17.66,9.08,9,7.0,11.0,5,13,0.0,11.22,裸拳
config-baseline,27,金丹七阶,490,88,31,18,0,bare_fists,2000,17.69,9.09,9,7.0,11.0,5,13,0.0,11.18,裸拳
config-baseline,28,金丹八阶,505,91,32,18,0,bare_fists,2000,17.68,9.08,9,7.0,11.0,5,13,0.0,11.15,裸拳
config-baseline,29,金丹九阶,520,94,33,19,0,bare_fists,2000,17.64,9.07,9,7.0,11.0,5,13,0.0,11.11,裸拳
config-baseline,30,元婴初期,535,97,34,19,0,bare_fists,2000,17.61,9.06,9,7.0,11.0,5,13,0.0,11.08,裸拳
config-baseline,31,元婴一阶,550,100,35,20,0,bare_fists,2000,17.62,9.06,9,7.0,11.0,5,12,0.0,11.05,裸拳
config-baseline,32,元婴二阶,565,103,36,20,0,bare_fists,2000,17.67,9.08,9,7.0,11.0,5,13,0.0,11.02,裸拳
config-baseline,33,元婴三阶,580,106,37,21,0,bare_fists,2000,17.51,9.01,9,7.0,11.0,5,13,0.0,10.99,裸拳
config-baseline,34,元婴四阶,595,109,38,21,0,bare_fists,2000,17.66,9.09,9,7.0,11.0,4,13,0.0,10.96,裸拳
config-baseline,35,元婴五阶,610,112,39,22,0,bare_fists,2000,17.65,9.08,9,7.0,11.0,5,14,0.0,10.94,裸拳
config-baseline,36,元婴六阶,625,115,40,22,0,bare_fists,2000,17.66,9.09,9,7.0,11.0,5,13,0.0,10.92,裸拳
config-baseline,37,元婴七阶,640,118,41,23,0,bare_fists,2000,17.62,9.07,9,7.0,11.0,5,13,0.0,10.89,裸拳
config-baseline,38,元婴八阶,655,121,42,23,0,bare_fists,2000,17.53,9.01,9,7.0,11.0,5,13,0.0,10.87,裸拳
config-baseline,39,元婴九阶,670,124,43,24,0,bare_fists,2000,17.43,8.96,9,7.0,11.0,5,13,0.0,10.85,裸拳
config-baseline,40,化神初期,685,127,44,24,0,bare_fists,2000,17.66,9.09,9,7.0,11.0,5,13,0.0,10.83,裸拳
config-baseline,41,化神一阶,700,130,45,25,0,bare_fists,2000,17.58,9.04,9,7.0,11.0,5,13,0.0,10.82,裸拳
