id,name,description,rank,required_level_index,passive_bonus_json,exp_multiplier,skill_pool_json,route,route_mult_ling,route_mult_ti,shop_weight,ref_source,design_note,status,canon_origin,tone_tier,story_hook,narrative_status
heart_001,长春功,基础心法，延年益寿,凡品,0,"{""hp_percent"": 0.1}",0.0,"[{""skill_id"": ""common_001"", ""learn_coefficient"": 1.0}, {""skill_id"": ""common_002"", ""learn_coefficient"": 0.8}]",通用,1.0,1.0,100,现有配置,新手默认；单条被动 10% ≤15% ✓,draft,散修日常,平淡,基础心法，延年益寿,占位
heart_004,养气诀,吐纳养气，修为日进,凡品,0,"{""hp_percent"": 0.03}",0.08,"[{""skill_id"": ""draft_kuangfeng"", ""learn_coefficient"": 1.0}]",通用,1.0,1.0,100,原创（v1 池）,修炼引入：3 点战斗 + 8% exp，第一个「快 vs 强」抉择,draft,散修日常,平淡,吐纳养气，修为日进,占位
heart_101,烈火功,真气如烈火燎原，攻伐无匹,灵品,11,"{""damage_percent"": 0.12}",0.0,"[{""skill_id"": ""draft_leizhen"", ""learn_coefficient"": 0.8}]",灵修,1.0,1.0,60,原创（v1 池）,爆发流起点；12 点,draft,散修日常,平淡,真气如烈火燎原，攻伐无匹,占位
heart_102,龟息功,气息绵长如龟寿，气血浑厚,灵品,11,"{""hp_percent"": 0.09}",0.06,"[{""skill_id"": ""draft_hunyan"", ""learn_coefficient"": 0.8}]",体修,1.0,1.0,60,原创（v1 池）,坦克/微修炼混合；9 点,draft,散修日常,平淡,气息绵长如龟寿，气血浑厚,占位
heart_201,金罡诀,金罡护体，攻守兼备,地品,21,"{""damage_percent"": 0.1, ""armor_value"": 15}",0.0,"[{""skill_id"": ""common_001"", ""learn_coefficient"": 1.0}, {""skill_id"": ""draft_zhenshan"", ""learn_coefficient"": 0.6}]",通用,1.0,1.0,35,原创（v1 池）,首个攻防复合；armor 门槛减伤≈4%，≈14 点,draft,散修日常,平淡,金罡护体，攻守兼备,占位
heart_202,云游诀,云游四方，心无挂碍，修为自增,地品,21,"{""agility_percent"": 0.08}",0.15,"[{""skill_id"": ""draft_yiyahuan"", ""learn_coefficient"": 0.6}]",通用,1.0,1.0,35,原创（v1 池）,修炼+生存；5.6 点,draft,散修日常,平淡,云游四方，心无挂碍，修为自增,占位
heart_301,玄影功,身形如玄影飘忽，难以捉摸,天品,31,"{""agility_percent"": 0.15, ""hp_percent"": 0.05}",0.0,"[{""skill_id"": ""common_002"", ""learn_coefficient"": 1.0}, {""skill_id"": ""draft_jinshen"", ""learn_coefficient"": 0.5}]",体修,1.0,1.0,20,原创（v1 池）,闪避流核心；15.5 点（agility 受闪避 cap 递减）,draft,散修日常,平淡,身形如玄影飘忽，难以捉摸,占位
heart_302,紫府功,开辟紫府，修炼一日千里,天品,31,"{""hp_percent"": 0.05}",0.2,[],通用,1.0,1.0,20,原创（v1 池）,纯修炼；5 点,draft,散修日常,平淡,开辟紫府，修炼一日千里,占位
heart_401,战神诀,战神之诀，攻无不克,皇品,41,"{""damage_percent"": 0.15, ""armor_value"": 20}",0.0,"[{""skill_id"": ""draft_zhanyi"", ""learn_coefficient"": 1.0}, {""skill_id"": ""draft_baxia"", ""learn_coefficient"": 0.6}]",体修,1.0,1.0,12,原创（v1 池）,单条顶 15% cap 的输出顶点；≈18.5 点,draft,散修日常,平淡,战神之诀，攻无不克,占位
heart_402,不动明王功,不动如山，明王护体,皇品,41,"{""hp_percent"": 0.13, ""armor_value"": 30}",0.0,[],通用,1.0,1.0,12,原创（v1 池）,坦克顶点；≈18.4 点,draft,散修日常,平淡,不动如山，明王护体,占位
