id,name,weapon_category,size_class,rank,required_level_index,base_damage,weapon_coefficient_k,bonus_damage,armor_value,price,shop_weight,route_mult_ling,route_mult_ti,trigger_skills_json,description,ref_source,design_note,status,canon_origin,tone_tier,story_hook,narrative_status
sword_001,青铜剑,剑,中,凡品,0,9,0.5,0,15,199,1000,1.0,1.0,[],普通的青铜剑，适合初学者,现有配置重做,凡品标杆（中·剑）：门槛 L1 HP=100，中取中段 per_hit=9+10×0.5=14 → TTK 7.1；旧 dmg+15 词条移除（bonus 留给变体）；armor 15 按新公式门槛级≈12% 减伤,draft,散修日常,平淡,普通的青铜剑，适合初学者,占位
sword_003,碧水灵剑,剑,中,灵品,10,16,0.5,70,15,5670,200,1.0,1.0,[],蕴含水灵气的宝剑,现有配置,旧框架数值，bonus_damage 70 过高，待重做,legacy,散修日常,平淡,蕴含水灵气的宝剑,占位
staff_101,狼牙棒,棍,重,灵品,11,19,0.6,0,30,6000,200,1.0,1.0,[],沉重的铁棒，挥舞起来势大力沉,QPet:木槌/棒球棒,灵品标杆（重·棍）：门槛 L11 HP=250，重取低段 per_hit=19+40×0.6=43 → TTK 5.8；门槛随境界重排 10→11（筑基）；净新增件，id 由 club_010 修正为 staff_101 对齐 config 命名,draft,散修日常,平淡,沉重的铁棒，挥舞起来势大力沉,占位
dagger_005,血月地匕,匕首,轻,地品,21,22,0.4,0,45,17675,80,1.0,1.0,[],染血的凶器,现有配置重做,地品标杆（轻·匕）：门槛 L21 HP=400，轻取高段 per_hit=22+70×0.4=50 → TTK 8.0；门槛 12→21（金丹）；旧 dmg+185 移除,draft,散修日常,平淡,染血的凶器,占位
sword_006,青云天剑,剑,中,天品,31,29,0.5,0,60,29100,30,1.0,1.0,"[{""name"": ""裂空斩"", ""trigger_timing"": ""on_attack"", ""trigger_rate"": 0.15, ""effect_type"": ""damage_bonus"", ""effect_value"": 0.4}]",承载天地灵气的宝剑，剑锋偶现裂空之痕,现有配置重做,天品标杆（中·剑）：门槛 L31 HP=550，中取中段 per_hit=29+100×0.5=79 → TTK 7.0；门槛 13→31（元婴）,draft,云州·青云山,正经,承载天地灵气的宝剑，剑锋偶现裂空之痕,占位
broadsword_007,撼地皇刀,阔刀,重,皇品,41,43,0.6,0,75,84960,10,1.0,1.0,"[{""name"": ""崩山击"", ""trigger_timing"": ""on_attack"", ""trigger_rate"": 0.12, ""effect_type"": ""damage_bonus"", ""effect_value"": 0.6}]",一刀可撼动大地，挥动间隐现崩山之声,现有配置重做,皇品标杆（重·阔刀）：门槛 L41 HP=700，重取低段 per_hit=43+130×0.6=121 → TTK 5.8；门槛 16→41（化神）,draft,上古遗宝,正经,一刀可撼动大地，挥动间隐现崩山之声,占位
spear_008,弑龙帝枪,枪,中,帝品,51,41,0.5,0,90,225840,3,1.0,1.0,"[{""name"": ""蓄锐式"", ""trigger_timing"": ""round_start"", ""trigger_rate"": 0.12, ""effect_type"": ""damage_bonus"", ""effect_value"": 0.6}]",弑杀真龙的帝枪，蓄势时隐有龙吟,现有配置重做,帝品标杆（中·枪）：门槛 L51 HP=850，中取中段 per_hit=41+160×0.5=121 → TTK 7.0；门槛 22→51（炼虚）,draft,上古遗宝,正经,弑杀真龙的帝枪，蓄势时隐有龙吟,占位
talisman_009,太一道符,符箓,轻,道品,61,49,0.4,0,105,522000,1,1.0,1.0,[],太一之道的符文,现有配置重做,道品标杆（轻·符箓）：门槛 L61 HP=1000，轻取高段 per_hit=49+190×0.4=125 → TTK 8.0；门槛 28→61（合体）,draft,散修日常,平淡,太一之道的符文,占位
blade_010,斩仙神刀,刀,中,仙品,71,54,0.5,0,120,1196800,0.3,1.0,1.0,[],斩仙灭神的至尊宝刀,现有配置重做,仙品标杆（中·刀）：门槛 L71 HP=1150，中取中段 per_hit=54+220×0.5=164 → TTK 7.0；门槛 32→71（大乘）,draft,上古遗宝,正经,斩仙灭神的至尊宝刀,占位
cauldron_011,混元至宝鼎,鼎,重,混元先天,81,74,0.6,0,135,3059900,0.1,1.0,1.0,"[{""name"": ""震魂槌"", ""trigger_timing"": ""on_attack"", ""trigger_rate"": 0.08, ""effect_type"": ""stun"", ""effect_value"": 0}]",混元至宝神鼎，重击震魂摄魄,现有配置重做,混元先天标杆（重·鼎）：门槛 L81 HP=1300，重取低段 per_hit=74+250×0.6=224 → TTK 5.8；门槛 35→81（渡劫，地仙沿用），补齐 L36-L99 缺口（wxg）,draft,上古遗宝,正经,混元至宝神鼎，重击震魂摄魄,占位
wpn_qy_001,青云镇山剑,剑,,天品,21,35,0.5,0,80,0,0,1.0,1.0,"[{""name"": ""青云剑意"", ""trigger_timing"": ""on_attack"", ""trigger_rate"": 0.15, ""effect_type"": ""damage_bonus"", ""effect_value"": 0.4}]",青云门镇派之宝，剑身铭刻开派祖师手书「青云」二字，离宗即自动归还宗门,现有配置,config 逆向导出补登记（scripts/export_config_to_canon.py）,legacy,青云门,正经,,占位
