pool,id,name,trigger_name,trigger_condition,trigger_rate,effect_type,effect_value,stat,duration,tick_rate,heal_percent,pierce_rate,reflect_rate,survive_count,vampire,route_mult_ling,route_mult_ti,learn_coefficient,ultimate_json,description,ref_source,design_note,status
通用功法池,common_001,基础吐纳,气息流转,attack,0.15,damage_bonus,0.2,,,,,,,,,1.0,1.0,1.0,null,最基础的修炼法门,现有配置,期望增益 0.15×0.2=3% ≤30% ✓；config 现值 1.2 为旧 1.x 语义，入库重做时按新契约改 0.x,draft
通用功法池,common_002,铁布衫,金刚护体,defend,0.2,damage_reduction,0.5,,,,,,,,,0.8,1.2,1.0,null,强化肉身的防御功法,现有配置,期望减伤 0.2×0.5=10%，受 40% 总 cap 约束 ✓,draft
通用功法池,draft_leiji,雷击诀,九霄神雷,attack,0.1,damage_bonus,1.0,,,,,,,,,1.2,0.8,1.0,null,引九天神雷劈击敌手,MB:Lightning/QPet:晴天霹雳(示意),高倍率低触发：期望 0.1×1.0=10% ≤30% ✓；灵修路线上浮；config 现值 2.0 为旧 1.x 语义，入库时按新契约改 0.x,draft
通用功法池,draft_kuangfeng,狂风诀,惊风连击,attack,0.15,combo,0.6,,,,,,,,,1.0,1.0,1.0,null,连环快击势如狂风,QPet:短剑20%/接力棒15%/无影手20%,连击流入门：combo 同 damage_bonus 加性倍率（0.6=该击×1.6，受 _combo_cap 栈上限），期望 0.15×0.6=9% ≤30% ✓,draft
通用功法池,draft_yiyahuan,以牙还牙,以牙还牙,defend,0.15,counter,0.8,,,,,,,,,1.0,1.2,1.0,null,受击后立即反击,QPet:第六感30%/MB:Pugnacious,反击吃自身面板×0.8（不吃当次攻击倍率），期望≈0.15×0.8=12% ≤30% ✓；体修路线优先,draft
通用功法池,draft_zhenshan,震山锤,震山一击,attack,0.10,stun,0,,,,,,,,,0.8,1.2,1.0,null,重锤震魂令对手停摆一回合,QPet:充气锤10%/乱斗堂:15%眩晕,stun 恒 1 回合；双向收益（己方窗口+敌方停摆）粗估期望 2×0.10÷7≈2.9% ≤30% ✓；概率必须压低，体修优先,draft
通用功法池,draft_juxing,聚星诀,聚星蓄势,round_start,0.15,damage_bonus,0.5,,,,,,,,,1.2,0.8,1.0,null,凝星蓄力下一击威力大增,无极仙途:BUFF 20-100%/researcher:蓄力类,延迟一回合生效（round_start 存 next_attack_mult 下回合用）是天然代价，value 可高于 attack 版；期望 0.15×0.5=7.5% ✓；灵修优先,draft
通用功法池,draft_zhanyi,战意诀,战意勃发,crit,0.25,damage_bonus,0.4,,,,,,,,,1.0,1.0,1.0,null,暴击瞬间战意爆发伤害更上一层,MB:Fierce Brute 下次攻击+100%/一念逍遥:会心1.5x,暴击增伤：期望=暴击率×rate×value 天然低方差；crit 时机先于 on_attack；期望 0.25×0.4=10% ≤30% ✓,draft
灵修专属,draft_leizhen,雷震剑诀,天雷引,attack,0.12,damage_bonus,1.5,,,,,,,,,1.2,0.8,1.0,null,引天雷淬剑一击千钧,QPet:龙卷风 20+力量×80%/天旋地转,高倍率低触发（同 draft_leiji 模式）：期望 0.12×1.5=18% ≤30% ✓；灵修专属,draft
灵修专属,draft_qingfeng,青锋连斩,青锋三连,attack,0.18,combo,0.8,,,,,,,,,1.2,0.8,1.0,null,剑光连闪一气三斩,QPet:真·流星球连扔3次（近似）,连击进阶：期望 0.18×0.8=14.4% ≤30% ✓；combo 受栈上限；灵修专属,draft
