group,key,name,canon_origin,tone_tier,story_hook,narrative_status,elite_boss_note
low,wolf,疾风狼,妖域,平淡,速度迅捷，利爪如风的低阶妖兽,占位,精英前缀（历战的/强壮的/变异的/狂暴的）+ Boss 名（苍月狼王等）叙事化时按 §2.3 智慧梯度展开
low,snake,赤炼蛇,妖域,平淡,身蕴火毒，噬人于无形,占位,精英前缀同上；Boss 名（赤炼蛇王/噬心蛇尊/九节毒龙）可关联蛮州妖脉
low,spider,鬼面蛛,妖域,平淡,背生鬼脸，毒丝缠魂,占位,精英前缀同上；Boss 名（千面蛛后/幽冥鬼蛛/噬魂蛛王）
mid,tiger,裂地虎,妖域,平淡,虎啸裂地，凶煞逼人,占位,精英前缀（强大的/铁甲的/血瞳的/吞噬的）+ Boss 名（裂地虎尊等）
mid,bear,撼山熊,妖域,平淡,力能撼山，妖躯如铁,占位,精英前缀同上；Boss 名（撼山熊君/铁背妖熊/吞山巨罴）
mid,eagle,铁羽鹰,妖域,平淡,铁翼横空，喙爪如刃,占位,精英前缀同上；Boss 名（铁羽鹰皇/裂空妖鹏/噬魂鹫王）
high,jiao,玄水蛟,妖域,平淡,潜渊游雾，龙威初显,占位,精英前缀（天灾级的/上古的/深渊的/混沌的）+ Boss 名（覆海蛟魔/深渊龙君/玄冥蛟皇）
high,turtle,镇海玄龟,妖域,平淡,背负玄甲，万法不侵,占位,精英前缀同上；Boss 名（北海玄龟/镇海龙龟/玄武后裔）
high,golden_eagle,裂空金雕,妖域,平淡,金翼裂空，喙啄金石,占位,精英前缀同上；Boss 名（金翅大鹏/裂天雕皇/九霄鹏魔）
top,dragon,苍龙,妖域,正经,龙吟九霄，吐息焚海,占位,顶层妖王背景（§2.3），第一季只作"深渊睁眼"背景威胁、不出场专属副本；Boss 名（五爪金龙/太古苍龙/混沌龙祖）
top,qilin,墨玉麒麟,妖域,正经,瑞兽后裔，踏火御风,占位,顶层妖王背景同上；Boss 名（麒麟圣皇/洪荒玉麒麟/祥瑞古兽）
top,phoenix,火凤,妖域,正经,浴火而生，涅槃不灭,占位,顶层妖王背景同上；Boss 名（九天凤皇/太古火凤/不死凤凰）
legacy_guardian,guardian_low,守碑灵,传承之地,正经,守护低阶传承之地的石灵,占位,灵体/构装（§2.3），非妖兽变体；无精英前缀/Boss 名
legacy_guardian,guardian_mid,镇殿战偶,传承之地,正经,守护中阶传承之地的青铜战偶,占位,构装造物（§2.3），可挂"精密齿轮"背景文案（§6）
legacy_guardian,guardian_high,传承剑侍,传承之地,正经,守护高阶传承之地的无名剑侍,占位,灵体守卫（§2.3），可沟通可谈判
